title,year,language,period,opening_weekend_cr,opening_weekend_note,wide_release_flag,genre,genre_primary,certification,cert_subband,has_certification,runtime_minutes,theatrical_release,festival_release,cast,director,production,star_power_flag,star_prior_mean_log,star_prior_count,lead_cast_popularity,popularity,sequel_flag,release_weekday,release_month,rating,rating_count,total_gross,india_net,overseas,budget,budget_cr,sacnilk_slug,wiki_title,tmdb_id
Genius,2018,Hindi,pre_covid,2.9,ok,True,"Action, Crime, Drama",Action,UA,U/A,True,165.0,24 Aug 2018,False,Utkarsh Sharma; Nawazuddin Siddiqui; Ishita Chauhan,Anil Sharma,,1,3.489490978416592,4,0.8419,3.2918,0,Friday,8,7.861,870.0,₹7.50 Cr,₹5.97 Cr,₹0.40 Cr,₹30.00 Cr,30.0,Genius_2018,Genius (2018 Hindi film),455714.0
Nanu Ki Jaanu,2018,Hindi,pre_covid,3.1,ok,True,,,UA,UA,True,133.0,06 Apr 2018,False,Abhay Deol; Patralekha,Faraz Haider,,0,,0,1.1211,0.8718,0,Friday,4,5.4,10.0,₹0.00 Cr,₹4.00 Cr,₹0.00 Cr,₹15.00 Cr,15.0,Nanu_Ki_Jaanu_2018,Nanu Ki Jaanu,515189.0
Tumbbad,2018,Hindi,pre_covid,3.25,ok,True,"Mystery, Thriller",Mystery,A,A,True,108.0,12 Oct 2018,False,,,,0,2.711549428169748,176,0.8572,2.6722,0,Friday,10,7.633,350.0,₹52.25 Cr,₹44.05 Cr,₹0.00 Cr,,,Tumbbad_2018,Tumbbad,538858.0
Pihu,2018,Hindi,pre_covid,1.6,ok,True,"Drama, Thriller",Drama,U,U,True,97.0,16 Nov 2018,False,Myra Vishwakarma,Vinod Kapri,,0,,0,0.3252,1.1789,0,Friday,11,7.557,96.0,₹3.70 Cr,₹3.00 Cr,₹0.00 Cr,₹2.00 Cr,2.0,Pihu_2018,Pihu,563987.0
Jalebi,2018,Hindi,pre_covid,2.0,ok,True,"Drama, Romantic",Drama,UA,UA,True,112.0,12 Oct 2018,False,,,,0,2.711549428169748,176,0.7191,1.1703,0,Friday,10,6.5,25.0,₹4.20 Cr,₹3.20 Cr,₹0.00 Cr,,,Jalebi_2018,Jalebi (film),547865.0
Love Sonia,2018,Hindi,pre_covid,1.6,ok,True,Drama,Drama,A,A,True,120.0,14 Sep 2018,False,Rajkummar Rao; Manoj Bajpayee; Anupam Kher; Sai Tamhankar; Richa Chaddha; Mrunal Thakur; Freida Pinto,Tabrez Noorani,,1,4.029181460879552,4,1.729,2.1321,0,Friday,9,7.2,33.0,₹3.33 Cr,₹2.22 Cr,₹0.30 Cr,₹15.00 Cr,15.0,Love_Sonia_2018,Love Sonia,444000.0
Manto,2018,Hindi,pre_covid,1.8,ok,True,"Biopic, Drama",Biopic,UA,U/A,True,117.0,21 Sep 2018,False,Nawazuddin Siddiqui; Ranvir Shorey,Nandita Das,,1,3.063788093360394,5,1.5854,1.1001,0,Friday,9,7.385,52.0,₹3.70 Cr,₹2.72 Cr,₹0.20 Cr,₹10.00 Cr,10.0,Manto_2018,Manto (2018 film),517975.0
Happy Phirr Bhag Jayegi,2018,Hindi,pre_covid,11.78,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,135.0,24 Aug 2018,False,Ali Fazal; Jassi Gill; Jimmy Shergill; Sonakshi Sinha; Diana Penty,Mudassar Aziz,Eros International,1,3.6648428811700704,1,1.5712,0.9173,0,Friday,8,6.375,12.0,₹31.00 Cr,₹21.94 Cr,₹3.00 Cr,₹30.00 Cr,30.0,Happy_Phirr_Bhag_Jayegi_2018,Happy Bhag Jayegi,538112.0
Mulk,2018,Hindi,pre_covid,8.16,ok,True,Drama,Drama,UA,U/A,True,140.0,03 Aug 2018,False,Rishi Kapoor; Taapsee Pannu,Anubhav Sinha,,1,3.6062311293203795,2,2.7656,0.7956,0,Friday,8,6.733,43.0,₹30.50 Cr,₹20.88 Cr,₹3.00 Cr,₹18.00 Cr,18.0,Mulk_2018,Mulk (film),526090.0
Blackmail,2018,Hindi,pre_covid,11.22,ok,True,Comedy,Comedy,UA,U/A,True,139.0,06 Apr 2018,False,Irrfan Khan,Abhinay Deo,T-Series,1,1.993077990007262,2,1.8703,1.145,0,Friday,4,6.8,110.0,₹30.00 Cr,₹20.42 Cr,₹3.00 Cr,₹20.00 Cr,20.0,Blackmail_2018,Blackmail (2018 film),512098.0
Yamla Pagla Deewana: Phir Se,2018,Hindi,pre_covid,6.31,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,148.0,31 Aug 2018,False,Dharmendra; Sunny Deol; Salman Khan; Bobby Deol; Johnny Lever; Kriti Kharbanda,Navaniat Singh,Sunny Sounds Pvt. Ltd.,1,4.554046486927454,7,1.5472,1.1382,0,Friday,8,3.583,12.0,₹17.00 Cr,₹11.70 Cr,₹2.50 Cr,₹30.00 Cr,30.0,Yamla_Pagla_Deewana_Phir_Se_2018,Yamla Pagla Deewana: Phir Se,512180.0
FryDay,2018,Hindi,pre_covid,1.25,ok,True,Comedy,Comedy,UA,U/A,True,123.0,12 Oct 2018,False,Govinda; Varun Sharma; Sanjay Mishra; Rajesh Sharma,Abhishek Dogra,,1,4.189654742026425,1,1.3277,0.8366,0,Friday,10,6.6,5.0,₹2.75 Cr,₹2.07 Cr,₹0.02 Cr,₹15.00 Cr,15.0,FryDay_2018,FryDay,547026.0
Bhaiaji Superhit,2018,Hindi,pre_covid,3.3,ok,True,"Action, Comedy",Action,UA,U/A,True,139.0,23 Nov 2018,False,Arshad Warsi; Sanjay Mishra; Mukul Dev; Sunny Deol; Pankaj Tripathi; Brijendra Kala; Shreyas Talpade; Jaideep Ahlawat; Pankaj Jha; Ameesha Patel; +1 more,Neeraj Pathak,,1,2.500292479121377,2,2.4183,0.7633,0,Friday,11,4.0,5.0,₹8.20 Cr,₹6.50 Cr,₹0.00 Cr,₹40.00 Cr,40.0,Bhaiaji_Superhit_2018,Bhaiaji Superhit,534985.0
Pataakha,2018,Hindi,pre_covid,4.05,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,134.0,28 Sep 2018,False,Vijay Raaz; Sunil Grover; Radhika Madan; Sanya Malhotra,Vishal Bhardwaj,B4U Motion Pictures,1,3.676300671907076,1,0.9919,1.0523,0,Friday,9,6.8,25.0,₹13.30 Cr,₹10.12 Cr,₹0.30 Cr,₹20.00 Cr,20.0,Pataakha_2018,Pataakha,542460.0
Mitron,2018,Hindi,pre_covid,2.3,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,119.0,14 Sep 2018,False,,,,0,2.7202215822251614,175,0.9715,1.3313,0,Friday,9,6.4,11.0,₹5.00 Cr,₹3.60 Cr,₹0.30 Cr,₹15.00 Cr,15.0,Mitron_2018,Mitron,547768.0
5 Weddings,2018,Hindi,pre_covid,1.4,ok,True,"Comedy, Drama, Romantic",Comedy,UA,U/A,True,105.0,26 Oct 2018,False,Rajkummar Rao; Nargis Fakhri,Namrata Singh Gujral,,1,2.286188408488168,4,2.9799,1.0771,1,Friday,10,3.773,11.0,₹4.50 Cr,₹1.74 Cr,₹2.00 Cr,₹20.00 Cr,20.0,5_Weddings_2018,5 Weddings,491627.0
Made in China,2019,Hindi,pre_covid,4.1,ok,True,Comedy,Comedy,,,False,128.0,25 Oct 2019,True,Boman Irani; Rajkummar Rao; Mouni Roy,Mikhil Musale,Maddock Films,1,3.998667156371493,7,,0.5438,0,Friday,10,10.0,1.0,₹16.20 Cr,₹12.30 Cr,₹1.70 Cr,₹25.00 Cr,25.0,Made_in_China_2019,Made in China (2019 film),734315.0
Photograph,2019,Hindi,pre_covid,1.05,ok,True,"Drama, Romantic",Drama,UA,UA,True,108.0,15 Mar 2019,False,Nawazuddin Siddiqui; Sanya Malhotra,Ritesh Batra,,1,4.658331743507039,7,1.0459,1.6561,0,Friday,3,6.7,82.0,₹2.03 Cr,₹1.45 Cr,₹0.21 Cr,₹19.00 Cr,19.0,Photograph_2019,Photograph (film),514586.0
Romeo Akbar Walter,2019,Hindi,pre_covid,22.7,ok,True,Action,Action,UA,U/A,True,139.0,05 Apr 2019,False,John Abraham; Sikandar Kher; Jackie Shroff; Mouni Roy,Robbie Grewal,,1,3.6717447468862177,3,2.0226,1.0851,0,Friday,4,6.136,44.0,₹58.00 Cr,₹42.85 Cr,₹7.50 Cr,₹35.00 Cr,35.0,Romeo_Akbar_Walter_2019,Romeo Akbar Walter,585862.0
Mard Ko Dard Nahi Hota,2019,Hindi,pre_covid,1.2,ok,True,"Action, Comedy",Action,UA,UA,True,138.0,21 Mar 2019,True,Abhimanyu Dassani; Radhika Madan,Vasan Bala,,1,1.6193882432872684,1,0.8702,1.2865,0,Thursday,3,6.725,80.0,₹3.50 Cr,₹2.55 Cr,₹0.50 Cr,₹21.00 Cr,21.0,Mard_Ko_Dard_Nahi_Hota_2019,Mard Ko Dard Nahi Hota,541495.0
India's Most Wanted,2019,Hindi,pre_covid,8.66,ok,True,Thriller,Thriller,UA,U/A,True,123.0,24 May 2019,False,Arjun Kapoor,Raj Kumar Gupta,Fox Star Studios,1,3.0366823887648655,4,0.9582,0.884,0,Friday,5,5.071,14.0,₹18.00 Cr,₹13.20 Cr,₹2.50 Cr,₹30.00 Cr,30.0,Indias_Most_Wanted_2019,India's Most Wanted (film),599598.0
Sonchiriya,2019,Hindi,pre_covid,4.6,ok,True,Crime,Crime,UA,U/A,True,103.0,01 Mar 2019,False,Sushant Singh Rajput; Manoj Bajpayee; Ranvir Shorey; Bhumi Pednekar,Abhishek Chaubey,RSVP Movies,1,3.7816651933171626,5,2.7656,0.9123,0,Friday,3,8.0,43.0,₹8.50 Cr,₹6.66 Cr,₹0.70 Cr,₹30.00 Cr,30.0,Sonchiriya_2019,Sonchiriya,535144.0
Commando 3,2019,Hindi,pre_covid,18.33,ok,True,Action,Action,UA,UA,True,134.0,29 Nov 2019,False,Vidyut Jammwal; Adah Sharma,Aditya Dutt,,1,2.6979998588266594,1,1.4582,1.1722,1,Friday,11,7.0,40.0,₹9.80 Cr,₹32.04 Cr,₹2.00 Cr,₹40.00 Cr,40.0,Commando_3_2019,Commando 3 (film),606599.0
Mission Mangal,2019,Hindi,pre_covid,68.4,ok,True,Drama,Drama,U,U,True,127.0,15 Aug 2019,True,Akshay Kumar; Sharman Joshi; Taapsee Pannu; Nithya Menen; Vidya Balan; Kirti Kulhari; Sonakshi Sinha,Jagan Shakti,Fox Star Studios,1,3.7679289099272903,9,2.5409,1.124,0,Thursday,8,6.667,84.0,₹291.00 Cr,₹203.08 Cr,₹52.00 Cr,₹40.00 Cr,40.0,Mission_Mangal_2019,Mission Mangal,611594.0
Ujda Chaman,2019,Hindi,pre_covid,9.26,ok,True,Comedy,Comedy,UA,UA,True,120.0,01 Nov 2019,False,,,,0,2.6690987742115624,204,1.0356,0.876,0,Friday,11,6.483,29.0,₹16.70 Cr,₹12.86 Cr,₹1.50 Cr,₹20.00 Cr,20.0,Ujda_Chaman_2019,Ujda Chaman,636449.0
Section 375,2019,Hindi,pre_covid,8.04,ok,True,Drama,Drama,UA,UA,True,124.0,13 Sep 2019,False,Rahul Bhat; Akshaye Khanna; Kishor Kadam; Sandhya Mridul; Meera Chopra; Kruttika Desai; Richa Chaddha,Ajay Bahl,SCIPL,1,2.7852588652642973,2,1.7335,1.3444,0,Friday,9,7.456,80.0,₹22.00 Cr,₹23.40 Cr,₹2.00 Cr,₹20.00 Cr,20.0,Section_375_2019,Section 375,507941.0
Marjaavaan,2019,Hindi,pre_covid,24.42,ok,True,"Action, Romantic",Action,UA,UA,True,135.0,15 Nov 2019,False,Riteish Deshmukh; Sidharth Malhotra; Tara Sutaria; Rakul Preet Singh,Milap Milan Zaveri,T-Series,1,3.8852287750436254,3,1.6088,1.3681,0,Friday,11,7.0,37.0,₹62.00 Cr,₹48.04 Cr,₹6.50 Cr,₹50.00 Cr,50.0,Marjaavaan_2019,Marjaavaan,627715.0
The Tashkent Files,2019,Hindi,pre_covid,2.2,ok,True,Thriller,Thriller,UA,UA,True,144.0,12 Apr 2019,False,Mithun Chakraborty; Pankaj Tripathi; Naseeruddin Shah; Mandira Bedi; Shweta Basu Prasad; Pallavi Joshi,Vivek Ranjan Agnihotri,Zee Studio,1,3.015841428478155,2,2.202,0.9861,0,Friday,4,7.224,58.0,₹20.00 Cr,₹16.41 Cr,₹0.60 Cr,₹8.00 Cr,8.0,The_Tashkent_Files_2019,The Tashkent Files,594673.0
Batla House,2019,Hindi,pre_covid,32.44,ok,True,Action,Action,UA,UA,True,146.0,15 Aug 2019,True,John Abraham; Ravi Kishan; Mrunal Thakur,Nikkhil Advani,T-Series,1,3.9402216657206335,4,2.0226,1.0792,0,Thursday,8,6.784,67.0,₹127.00 Cr,₹99.24 Cr,₹11.00 Cr,₹50.00 Cr,50.0,Batla_House_2019,Batla House,550485.0
Jabariya Jodi,2019,Hindi,pre_covid,12.25,ok,True,Comedy,Comedy,UA,UA,True,139.0,09 Aug 2019,False,Sidharth Malhotra; Parineeti Chopra,Prashant Singh,Balaji Motion Pictures,1,3.3904169998151605,2,1.6088,2.8716,0,Friday,8,4.5,13.0,₹25.24 Cr,₹18.85 Cr,₹3.00 Cr,₹30.00 Cr,30.0,Jabariya_Jodi_2019,Jabariya Jodi,543693.0
Laal Kaptaan,2019,Hindi,pre_covid,2.5,ok,True,,,A,A,True,155.0,18 Oct 2019,False,Saif Ali Khan,Navdeep Singh (director),,1,3.258751062166459,2,3.0886,1.1611,0,Friday,10,7.204,27.0,₹4.50 Cr,₹3.19 Cr,₹0.70 Cr,₹40.00 Cr,40.0,Laal_Kaptaan_2019,Laal Kaptaan,621003.0
Panipat,2019,Hindi,pre_covid,17.68,ok,True,Historical,Historical,UA,UA,True,162.0,06 Dec 2019,False,Sanjay Dutt; Arjun Kapoor; Kriti Sanon,Ashutosh Gowariker,Vision World Films,1,2.8829446406567776,5,2.0295,1.2444,0,Friday,12,6.1,39.0,₹49.00 Cr,₹33.87 Cr,₹9.00 Cr,₹80.00 Cr,80.0,Panipat_2019,Panipat (film),577332.0
Bypass Road,2019,Hindi,pre_covid,0.85,ok,True,Thriller,Thriller,UA,UA,True,118.0,08 Nov 2019,False,,,,0,2.667436111116592,205,0.9985,1.1566,0,Friday,11,5.2,8.0,₹1.50 Cr,₹1.00 Cr,₹0.30 Cr,₹20.00 Cr,20.0,Bypass_Road_2019,Bypass Road (film),645370.0
Notebook,2019,Hindi,pre_covid,2.9,ok,True,"Drama, Romantic",Drama,UA,U/A,True,113.0,29 Mar 2019,False,,,,0,2.6939529758629637,187,8.43,24.0326,0,Friday,3,7.891,12853.0,₹6.60 Cr,₹4.97 Cr,₹0.60 Cr,₹20.00 Cr,20.0,Notebook_2019,Notebook (2019 film),11036.0
Saand Ki Aankh,2019,Hindi,pre_covid,2.47,ok,True,"Biopic, Drama",Biopic,,,False,146.0,25 Oct 2019,True,,,,0,2.6761182036709354,203,0.9985,0.9282,0,Friday,10,7.018,28.0,₹31.00 Cr,₹23.67 Cr,₹3.00 Cr,₹20.00 Cr,20.0,Saand_Ki_Aankh_2019,Saand Ki Aankh,523278.0
Pagalpanti,2019,Hindi,pre_covid,24.3,ok,True,Comedy,Comedy,UA,UA,True,149.0,22 Nov 2019,False,Anil Kapoor; Pulkit Samrat; Arshad Warsi; John Abraham; Saurabh Shukla; Kriti Kharbanda; Urvashi Rautela; Ileana D'Cruz,Anees Bazmee,,1,3.7876651519986737,5,2.0226,1.7202,0,Friday,11,4.409,22.0,₹51.00 Cr,₹41.20 Cr,₹4.00 Cr,₹60.00 Cr,60.0,Pagalpanti_2019,Pagalpanti (2019 film),649487.0
Pal Pal Dil Ke Paas,2019,Hindi,pre_covid,5.2,ok,True,Romantic,Romantic,,,False,154.0,20 Sep 2019,False,,,,0,2.6801474730895536,199,0.675,0.9779,0,Friday,9,5.6,6.0,₹12.50 Cr,₹9.00 Cr,₹2.00 Cr,₹30.00 Cr,30.0,Pal_Pal_Dil_Ke_Paas_2019,Pal Pal Dil Ke Paas,582108.0
Bhediya,2022,Hindi,post_covid,28.33,ok,True,"Comedy, Horror",Comedy,UA,UA,True,156.0,25 Nov 2022,False,Varun Dhawan; Deepak Dobriyal; Kriti Sanon,Amar Kaushik,Maddock Films,1,3.7168908578460993,8,2.0295,1.694,0,Friday,11,6.922,77.0,₹94.91 Cr,₹68.99 Cr,₹13.50 Cr,₹60.00 Cr,60.0,Bhediya_2022,Bhediya,799177.0
Uunchai,2022,Hindi,post_covid,10.16,ok,True,Drama,Drama,U,U,True,170.0,11 Nov 2022,False,Anupam Kher; Boman Irani; Amitabh Bachchan; Danny Denzongpa; Parineeti Chopra; Neena Gupta,Sooraj Barjatya,Rajshri Productions,1,2.9399202627774037,10,1.3777,1.1526,0,Friday,11,6.2,19.0,₹48.32 Cr,₹32.90 Cr,₹9.50 Cr,₹45.00 Cr,45.0,Uunchai_2022,Uunchai,1009432.0
Vikram Vedha,2022,Hindi,post_covid,36.94,ok,True,"Action, Thriller",Action,UA,U/A,True,160.0,30 Sep 2022,False,Hrithik Roshan; Saif Ali Khan; Rohit Saraf; Sharib Hashmi; Yogita Bihani; Radhika Apte,Pushkar–Gayathri,Y NOT Studios,1,4.095031811503904,6,3.0886,1.5167,0,Friday,9,6.745,49.0,₹135.44 Cr,₹78.90 Cr,₹42.34 Cr,₹150.00 Cr,150.0,Vikram_Vedha_2022,Vikram Vedha (2022 film),851783.0
HIT: The First Case,2022,Hindi,post_covid,5.59,ok,True,"Mystery, Thriller",Mystery,UA,UA,True,133.0,15 Jul 2022,False,Rajkummar Rao; Sanya Malhotra,Dr Sailesh Kolanu,T-Series,1,2.6880857683286776,11,1.0897,0.8766,0,Friday,7,6.6,39.0,₹8.00 Cr,₹8.87 Cr,₹1.40 Cr,,,HIT_The_First_Case_2022,HIT: The First Case (2022 film),887109.0
Salaam Venky,2022,Hindi,post_covid,1.6,ok,True,"Drama, Family",Drama,UA,UA,True,136.0,09 Dec 2022,False,Rahul Bose; Vishal Jethwa; Rajeev Khandelwal; Aamir Khan; Aahana Kumra; Kajol,Revathi,RTake Studios,1,2.9523027330567335,1,2.359,1.1011,0,Friday,12,6.5,11.0,₹3.36 Cr,₹2.42 Cr,₹0.50 Cr,₹15.00 Cr,15.0,Salaam_Venky_2022,Salaam Venky,881983.0
Ram Setu,2022,Hindi,post_covid,20.6,ok,True,"Historical, Mythology",Historical,UA,UA,True,143.0,25 Oct 2022,True,Satya Dev; Akshay Kumar; Nassar; Jacqueline Fernandez; Nushrat Bharucha,Abhishek Sharma,Lyca Productions,1,3.734460958433864,17,2.5409,1.5426,0,Tuesday,10,5.2,36.0,₹96.74 Cr,₹74.70 Cr,₹7.50 Cr,₹150.00 Cr,150.0,Ram_Setu_2022,Ram Setu (film),764081.0
Mili,2022,Hindi,post_covid,1.74,ok,True,Thriller,Thriller,,,False,127.0,04 Nov 2022,False,Sunny Kaushal; Rajesh Jais; Manoj Pahwa; Janhvi Kapoor; Hasleen Kaur,Mathukutty Xavier,Zee Studio,1,1.9823798275231037,1,1.1211,1.4944,0,Friday,11,6.545,22.0,₹3.82 Cr,₹2.82 Cr,₹0.50 Cr,₹10.00 Cr,10.0,Mili_2022,Mili (2022 film),908397.0
Code Name: Tiranga,2022,Hindi,post_covid,0.74,ok,True,", Action, Thriller",,,,False,134.0,14 Oct 2022,False,Sharad Kelkar; Dibyendu Bhattacharya; Harrdy Sandhu; Rajit Kapoor; Parineeti Chopra; Shefali Shah,Ribhu Dasgupta,T-Series,1,4.058794197655074,2,0.9482,0.8116,0,Friday,10,4.4,7.0,₹1.07 Cr,₹0.74 Cr,₹0.20 Cr,,,Code_Name_Tiranga_2022,Code Name: Tiranga,1021166.0
Selfiee,2023,Hindi,post_covid,10.3,ok,True,"Comedy, Drama",Comedy,UA,UA,True,148.0,24 Feb 2023,False,Akshay Kumar; Emraan Hashmi; Nushrat Bharucha; Diana Penty,Raj Mehta,Prithviraj Productions,1,3.6976960893369895,18,2.9115,1.2047,0,Friday,2,6.037,27.0,₹24.60 Cr,₹17.03 Cr,₹4.50 Cr,₹100.00 Cr,100.0,Selfiee_2023,Selfiee,926130.0
Thank You for Coming,2023,Hindi,post_covid,3.2,ok,True,"Comedy, Drama",Comedy,,,False,117.0,06 Oct 2023,False,Karan Kundra; Anil Kapoor; Bhumi Pednekar; Shibani Bedi; Shehnaaz Kaur Gill; Kusha Kapila; Dolly Singh,Karan Boolani,Balaji Motion Pictures,1,3.371642707853692,8,0.7319,0.8313,0,Friday,10,4.792,12.0,₹9.60 Cr,₹6.87 Cr,₹1.60 Cr,,,Thank_You_for_Coming_2023,Thank You for Coming,957999.0
Jawan,2023,Hindi,post_covid,186.58,ok,True,"Action, Thriller",Action,UA,U/A,True,169.0,07 Sep 2023,False,Shah Rukh Khan; Vijay Sethupathi; Sunil Grover; Sanya Malhotra; Nayanthara; Priyamani; Deepika Padukone,Atlee (director),Red Chillies Entertainment,1,4.226835492263431,10,2.8272,6.8703,0,Thursday,9,7.04,352.0,"₹1,160.00 Cr",₹640.25 Cr,₹400.00 Cr,₹300.00 Cr,300.0,Jawan_2023,Jawan (film),872906.0
Gumraah,2023,Hindi,post_covid,3.8,ok,True,"Crime, Thriller",Crime,UA,UA,True,127.0,07 Apr 2023,False,Ronit Roy; Aditya Roy Kapur; Mrunal Thakur,Vardhan Ketkar,T-Series Films,1,3.333139873712472,5,1.623,1.5466,0,Friday,4,6.733,30.0,₹9.10 Cr,₹7.74 Cr,₹0.80 Cr,₹25.00 Cr,25.0,Gumraah_2023,Gumraah (2023 film),974025.0
The Kerala Story,2023,Hindi,post_covid,35.43,ok,True,Drama,Drama,A,A,True,138.0,05 May 2023,False,Sonia Balani; Yogita Bihani; Siddhi Idnani; Adah Sharma,Vipul Amrutlal Shah,Sunshine Pictures,1,,0,1.1091,1.4775,0,Friday,5,4.528,36.0,₹302.00 Cr,₹241.74 Cr,₹15.50 Cr,₹15.00 Cr,15.0,The_Kerala_Story_2023,The Kerala Story,1117411.0
Neeyat,2023,Hindi,post_covid,4.19,ok,True,"Crime, Mystery, Thriller",Crime,,,False,130.0,07 Jul 2023,False,Rahul Bose; Neeraj Kabi; Ram Kapoor; Niki Walia; Amrita Puri; Vidya Balan,Anu Menon,Riddle Films Production,1,0.9555114450274363,1,0.9162,0.8058,0,Friday,7,5.1,15.0,₹6.90 Cr,₹5.79 Cr,₹0.00 Cr,,,Neeyat_2023,Neeyat (2023 film),968748.0
Dunki,2023,Hindi,post_covid,76.43,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,161.0,21 Dec 2023,False,Vicky Kaushal; Boman Irani; Shah Rukh Khan; Taapsee Pannu,Rajkumar Hirani,Red Chillies Entertainment,1,4.349207752283755,9,2.6192,3.1797,0,Thursday,12,6.324,122.0,₹454.00 Cr,₹227.00 Cr,₹182.00 Cr,₹120.00 Cr,120.0,Dunki_2023,Dunki (film),960876.0
